room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3880,4970,Entire home/apt,,Misericórdia,70,4.5,3.0,1.0,70.0,1.0,38.711013,-9.148237,2015-03-19 07:27:18.801
6499,14455,Entire home/apt,,Belém,3,5.0,2.0,1.0,68.0,2.0,38.696747,-9.198404,2015-03-19 08:37:56.575
16013,60741,Entire home/apt,,Misericórdia,130,4.5,3.0,1.0,56.0,3.0,38.71236,-9.152341,2015-03-19 09:32:58.293
25659,107347,Entire home/apt,,Santa Maria Maior,8,5.0,5.0,1.0,70.0,3.0,38.711671,-9.126964,2015-03-19 07:49:06.528
26993,111686,Entire home/apt,,Avenidas Novas,2,3.5,2.0,1.0,97.0,3.0,38.730747,-9.14824,2015-03-19 08:57:04.407
26995,111686,Private room,,Avenidas Novas,0,,2.0,1.0,348.0,1.0,38.738323,-9.143127,2015-03-19 09:00:12.809
29138,125304,Private room,,Areeiro,0,,1.0,1.0,99.0,1.0,38.736341,-9.137916,2015-03-19 11:04:29.400
29248,125768,Entire home/apt,,São Vicente,122,4.5,4.0,1.0,49.0,3.0,38.715136,-9.122788,2015-03-19 07:54:13.582
29396,126415,Entire home/apt,,Santa Maria Maior,21,4.5,4.0,1.0,77.0,1.0,38.712392,-9.12887,2015-03-19 11:07:08.231
29720,128075,Entire home/apt,,Estrela,4,5.0,,9.0,1392.0,2.0,38.711955,-9.158766,2015-03-19 07:09:06.782
29872,128698,Entire home/apt,,Alcântara,23,5.0,2.0,1.0,77.0,4.0,38.701456,-9.191033,2015-03-19 10:19:21.599
29891,128792,Entire home/apt,,Misericórdia,13,5.0,3.0,1.0,77.0,3.0,38.716376,-9.149055,2015-03-19 10:44:53.126
29915,128890,Entire home/apt,,Alvalade,21,4.5,3.0,1.0,70.0,3.0,38.748635,-9.149022,2015-03-19 11:17:02.687
31676,136230,Entire home/apt,,Misericórdia,146,4.5,2.0,1.0,70.0,1.0,38.710887,-9.150394,2015-03-19 10:34:48.886
33769,145931,Entire home/apt,,Misericórdia,36,5.0,4.0,2.0,118.0,5.0,38.713401,-9.147833,2015-03-19 11:36:08.944
33845,146204,Private room,,Campo de Ourique,0,,1.0,1.0,82.0,1.0,38.721431,-9.163592,2015-03-19 07:42:18.909
34779,149980,Private room,,Estrela,0,,1.0,1.0,88.0,1.0,38.712157,-9.162721,2015-03-19 11:17:14.890
34783,149980,Private room,,Estrela,0,,1.0,1.0,64.0,1.0,38.711302,-9.159902,2015-03-19 11:23:10.064
34953,146695,Entire home/apt,,São Vicente,22,4.5,4.0,1.0,56.0,3.0,38.714697,-9.130293,2015-03-19 09:28:36.201
34977,146695,Entire home/apt,,Santa Maria Maior,2,5.0,,2.0,77.0,3.0,38.714391,-9.131907,2015-03-19 10:00:33.298
34994,146695,Entire home/apt,,São Vicente,19,4.5,4.0,1.0,56.0,3.0,38.714053,-9.129963,2015-03-19 10:22:17.169
35026,150673,Private room,,Penha de França,39,4.5,2.0,1.0,33.0,1.0,38.721554,-9.129722,2015-03-19 11:04:43.007
35954,154341,Entire home/apt,,Santo António,34,4.5,4.0,2.0,70.0,3.0,38.720809,-9.152184,2015-03-19 08:58:49.693
40817,176410,Entire home/apt,,Misericórdia,139,4.5,4.0,2.0,64.0,,38.708143,-9.147804,2015-03-19 08:57:19.798
42172,184400,Entire home/apt,,Santa Maria Maior,28,4.5,,2.0,125.0,4.0,38.712366,-9.141526,2015-03-19 10:34:59.050
42519,136230,Entire home/apt,,Misericórdia,46,4.5,3.0,1.0,70.0,1.0,38.708961,-9.149376,2015-03-19 07:08:21.333
44043,192830,Entire home/apt,,Santa Maria Maior,181,5.0,,3.0,97.0,2.0,38.71176,-9.136205,2015-03-19 06:52:57.719
47081,211826,Entire home/apt,,Santa Maria Maior,209,5.0,4.0,2.0,56.0,,38.711978,-9.127327,2015-03-19 11:36:56.219
47382,146695,Entire home/apt,,São Vicente,10,4.5,4.0,,56.0,3.0,38.715374,-9.129357,2015-03-19 07:07:15.720
47717,217058,Entire home/apt,,Santa Maria Maior,35,4.5,3.0,1.0,64.0,3.0,38.713355,-9.135391,2015-03-19 08:41:00.735
48025,218778,Entire home/apt,,Misericórdia,8,4.5,2.0,1.0,91.0,5.0,38.713089,-9.14392,2015-03-19 09:51:06.717
49888,228114,Private room,,Santa Maria Maior,77,4.5,2.0,1.0,77.0,3.0,38.709925,-9.131784,2015-03-19 11:24:52.656
50108,229376,Entire home/apt,,Estrela,12,5.0,4.0,1.0,84.0,2.0,38.703883,-9.165199,2015-03-19 10:35:20.408
50269,150673,Private room,,São Vicente,12,4.5,1.0,1.0,22.0,2.0,38.72088,-9.13046,2015-03-19 08:31:32.914
50270,150673,Private room,,Penha de França,20,4.0,2.0,1.0,22.0,1.0,38.721756,-9.129641,2015-03-19 08:32:34.796
52291,224487,Entire home/apt,,Olivais,3,5.0,2.0,1.0,91.0,3.0,38.762135,-9.106225,2015-03-19 07:58:56.634
